qashpay,quemar
qashpay,para limpiar
qina,quena
kiisu,queso
kiwicha,quihuicha
chaqallwi,quijada
qinwa,quingual
kinwa,quinua
watsu,raíz
huklla,rápido
huklla,de una vez
llikiy,rasgar
hichkay,raspar
ukush,ratón
pusway,rebalsar
mitsina,rebaño
chaskiy,recibir
kutitsinakuy,reciprocidad
achkuy,recoger con las manos
pallay,recoger
pallay,alzar
aylluy,recoger
aylluy,amparar
aylluy,proteger
aylluy,cobijar
aylluy,envolver
yarpay,recordar
chacharay,recostarse
chacharay,estar echado
qallpay,regar
parquy,regar
yunka,región selvática
suyu,región
suyu,territorio
asiy,reír
intiwatana,reloj
tullpuy,remojar
ultu,renacuajo
alalashqa,resfriado
hamay,respirar
qichu,resta o sustracción
kachupi,restos de algo masticado
kawariy,resucitar
witiy,retirarse
washa ruru,riñón
mayu,río
suway,robar
qaqa,roca
qunqu,rodilla
kuchkuy,roer
puka,rojo
ruqu,romo
ruqu,punta
rachiy,romper
rachiy,arrancar
pakiy,romper
pakiy,quebrar
qurquryay,roncar
chiri,ropa ajustada
hacha,rubio
pishqurukus,ruiseñor
yachay,saber
yachaq,sabio
chaqay,sacar agua
hurquy,sacar
hurquy,extraer
kachi,sal
anqa,salado
kachitay,salar
yarquy,salir
tuqa,saliva
pintiy,saltar
napay,saludar
napaanakuy,saludarse
salwiya,salvia
llanqi,sandalia
yawar,sangre
ratsak,sapo
chuqyaq,sapo maduro
rayan,saúco
yakunay,sed
rutuy,segar
muruy,sembrar
muru,semilla
anku,semiseco
rakiy,separar
usya,sequía
aparikarkallaamay,ser mítico
machaku,serpiente
amaru,serpiente sagrada
qaray,servir comida
huñunakuy,sesión
murukuy,siembra
wichyay,silbar
tsunya,silencio
tuna,sitio apartado
kupay,sobar
achachay,sofocarse
achachay,afiebrarse
waska,soga
chilliiwa,soga de paja
inti,sol
hapallay,solo
hapallay,único
kachay,soltar
kachay,dejar libre
arwa,sombra
puukay,soplar
hakay,soplar
hakay,para calentar algo
hakay,dar aliento
puukana,soplete
puukana,soplador
suqru,sordo
ñampu,suave
lluqay,subir
humpi,sudor
muspay,sueño
nakay,sufrir
nakay,demorar
yapay,sumar
yapay,agregar
qashqa,surco
huti,sustantivo
huti,nombre
walluy,talar
tullu,tallo
tamal,tamal
kaaha,tambor grande
tsapana,tapa de olla
atapuquy,tarántula
talulu,tartamudo
taruka,tarugo (tipo de venado)
qatay,techar
qatay,cubrir
awaq,tejedor
waya,tela cortada desigual
llika,telaraña
katatay,temblar
mashtay,tender
mashtay,extender
anku,tendón
tsaray,tener
mantsay,tener miedo
chakra,terreno de cultivo
purun,terreno virgen
kurpa,terrón
quruta,testículo
allpa,tierra
patsa,tierra
qashya,tierra suave
tihira,tijera
lluqi,tipo de bastón
numya,tipo de frijol
yanashtu,tizna
utsu putu,tobillo
takakuy,tocar una puerta
chipyaq,todos
kukuli,torcaza
mukmuy,torcer la lana
wikllu,torcido
chiwiillu,tordo
piña,toro bravo
lluqlla,torrentera
lluqlla,aluvión
kullku,tórtola
charapa,tortuga de río
chuqa,tos
chuqay,toser
kallana,tostador
ankay,tostar
aruy,trabajar
uryay,trabajar
nuqtay,tragar
mini,trama
ashtay,trasladar
ashtay,acarrear
piltay,trenzar
achipay,trepar
achipay,subir
tsamqa,trigo semimolido
harutsiy,trillar
llaki,tristeza
kurniita,trompeta
pututu,trompeta de caracol
kullu,tronco
punruru,trueno
qapra,tuerto
amaa,tumba antigua
amuqllu,tumor
huk,uno
huk,otro
shillu,uña
awllina,urdimbre
ishpana,uretra
waaka,vaca
qichwa,valle interandino
ullqu,varón
qiiru,vaso incaico
wiki,vellón de lana
llaplla,vellosidad
luychu,venado
yawarpa naanin,venas
atipaq,vencedor
qatuq,vendedor
qatuy,vender
shamuy,venir
rikay,ver
qumir,verde
tikti,verruga
ayaq,vesícula biliar
yakatsiy,vestir
wikuña,vicuña
qishpi,vidrio
rahay,visitar
rahay,echar de menos
kaway,vivir
wishka,vizcacha
paariy,volar
chakay,voltear la tierra
masha,yerno
yuka,yuca
yunta,yunta
antaara,zampoña
wanwa,zancudo
muuka,zarigüeya
shiraka,zarzaparrilla
añas,zorrillo
atuq,zorro
yukis,zorzal
